"251";"144";"144";"0";"0";"0";"0";"1383134588";"0";"Под   областями  затруднений в общении А.К.Маркова понимает    субъективно переживаемое человеком состояние «сбоя» в реализации прогно¬зируемого (планируемого) общения вследствие неприятия парт¬нера общения, его действий, непонимания текста (сообщения), непонимания партнера, изменения коммуникативной ситуации, собственного психического состояния и т.д. Затруднения выяв¬ляются в форме остановки, перерыва деятельности, самого обще-ния, невозможности их продолжения. С учетом того, что возникновение в процессе деятельности затруднения и его осознание, объективация есть одно из условий возникновения про¬блемной ситуации, которая является предпосылкой и основой воз¬никновения и движения мысли (С.Л. Рубинштейн), в педагоги¬ческой деятельности оно может рассматриваться и как фактор активации интеллектуальной деятельности человека, стимули¬рование нахождения новых средств и способов выхода из создав¬шейся «затрудняющей» ситуации. Соответственно выделяют по¬зитивную и негативную функции затруднения (трудности) в про¬цессе педагогического общения.
Позитивная функция затруднения (по А.К. Марковой)  име¬ет два значения: 
а) индикаторное (привлечение внимания учи¬теля; например, внимательному учителю на его трудности ука¬жут ошибки его учеников); 
б) стимулирующее, мобилизую¬щее (активизация деятельности учителя при  анализе и пре¬одолении затруднений, приобретение опыта).
Негативная функ¬ция затруднения:
 а) сдержива¬ющее (в случае отсутствия условий для преодоления затруд¬нений или наличия неудовлетворенности собой, например зани-женной самооценки) 
 б) деструктивное, разрушительное (за¬труднения приводят к остановке, распаду деятельности, же¬ланию уйти из школы или из профессии). (Зимняя И.А., 2010).
";"0";NULL;"0"
"50";"26";"26";"0";"0";"0";"0";"1366112811";"0";"Ответить на вопросы";"0";NULL;"0"
"58";"26";"32";"-1";"0";"1";"0";"1366114086";"0";NULL;"0";NULL;"0"
"59";"20";"33";"14";"0";"1";"0";"1367234423";"0";"изолированность";"0";;"0"
"60";"20";"33";"14";"0";"0";"0";"1367234423";"0";"архаичность";"0";;"0"
"61";"20";"33";"0";"0";"0";"0";"1367234423";"0";"дифференциация ";"0";;"0"
"62";"20";"33";"17";"0";"0";"0";"1367234423";"0";"синкретизм";"0";;"0"
"65";"20";"36";"-1";"0";"0";"0";"1367235015";"0";NULL;"0";NULL;"0"
"66";"20";"37";"-1";"0";"1";"0";"1367235091";"0";"34ув";"0";;"0"
"67";"20";"37";"0";"0";"0";"0";"1367235091";"0";"3ув";"0";"йцыя";"0"
"482";"295";"301";"-9";"0";"0";"0";"1387644937";"0";"Завершить лекцию";"0";NULL;"0"
"80";"51";"48";"-80";"0";"0";"0";"1380654909";"0";NULL;"0";NULL;"0"
"81";"53";"49";"0";"0";"0";"0";"1380908882";"0";"Сущность и содержание русского музыкального фольклора.";"2";NULL;"0"
"84";"54";"52";"0";"0";"0";"0";"1381004082";"0";"Зимние обрядовые песни";"0";NULL;"0"
"85";"55";"53";"0";"0";"0";"0";"1381004858";"0";"Весенние обрядовые песни";"0";NULL;"0"
"86";"56";"54";"0";"0";"0";"0";"1381005733";"0";"Летние обрядовые песни";"0";NULL;"0"
